"measure","location","sex","age","cause","metric","year","val"
"Deaths","Saudi Arabia","Male","95+ years","Ischemic stroke","Number",2009,42.7012617194477
"Deaths","Saudi Arabia","Female","95+ years","Ischemic stroke","Number",2009,53.4702152040311
"Deaths","Saudi Arabia","Male","95+ years","Ischemic stroke","Rate",2009,4558.56744257473
"Deaths","Saudi Arabia","Female","95+ years","Ischemic stroke","Rate",2009,5574.09048067747
"Deaths","Saudi Arabia","Male","<5 years","All causes","Number",2009,3277.45782123073
"Deaths","Saudi Arabia","Female","<5 years","All causes","Number",2009,2833.10743742944
"Deaths","Saudi Arabia","Male","<5 years","All causes","Rate",2009,263.331992364379
"Deaths","Saudi Arabia","Female","<5 years","All causes","Rate",2009,242.663357567077
"Deaths","Saudi Arabia","Male","5-9 years","All causes","Number",2009,350.113182146325
"Deaths","Saudi Arabia","Female","5-9 years","All causes","Number",2009,249.23121596463
"Deaths","Saudi Arabia","Male","5-9 years","All causes","Rate",2009,27.2061076636486
"Deaths","Saudi Arabia","Female","5-9 years","All causes","Rate",2009,21.0895283781638
"Deaths","Saudi Arabia","Male","10-14 years","All causes","Number",2009,443.24551151576
"Deaths","Saudi Arabia","Female","10-14 years","All causes","Number",2009,299.271082030987
"Deaths","Saudi Arabia","Male","10-14 years","All causes","Rate",2009,32.7488659508742
"Deaths","Saudi Arabia","Female","10-14 years","All causes","Rate",2009,23.9596491364022
"Deaths","Saudi Arabia","Male","15-19 years","All causes","Number",2009,1440.80268157831
"Deaths","Saudi Arabia","Female","15-19 years","All causes","Number",2009,673.464138286409
"Deaths","Saudi Arabia","Male","15-19 years","All causes","Rate",2009,99.7886714913989
"Deaths","Saudi Arabia","Female","15-19 years","All causes","Rate",2009,53.1969631391177
"Deaths","Saudi Arabia","Male","20-24 years","All causes","Number",2009,2551.35472431173
"Deaths","Saudi Arabia","Female","20-24 years","All causes","Number",2009,1035.90360779271
"Deaths","Saudi Arabia","Male","20-24 years","All causes","Rate",2009,160.588993017801
"Deaths","Saudi Arabia","Female","20-24 years","All causes","Rate",2009,78.9441211539742
"Deaths","Saudi Arabia","Male","25-29 years","All causes","Number",2009,2887.34629812032
"Deaths","Saudi Arabia","Female","25-29 years","All causes","Number",2009,1261.43991441153
"Deaths","Saudi Arabia","Male","25-29 years","All causes","Rate",2009,177.813301846683
"Deaths","Saudi Arabia","Female","25-29 years","All causes","Rate",2009,103.444457172148
"Deaths","Saudi Arabia","Male","30-34 years","All causes","Number",2009,3611.19502381629
"Deaths","Saudi Arabia","Female","30-34 years","All causes","Number",2009,1557.37702544687
"Deaths","Saudi Arabia","Male","30-34 years","All causes","Rate",2009,212.570583018887
"Deaths","Saudi Arabia","Female","30-34 years","All causes","Rate",2009,140.715724013036
"Deaths","Saudi Arabia","Male","35-39 years","All causes","Number",2009,4084.96571263372
"Deaths","Saudi Arabia","Female","35-39 years","All causes","Number",2009,1916.96259906008
"Deaths","Saudi Arabia","Male","35-39 years","All causes","Rate",2009,274.849322735895
"Deaths","Saudi Arabia","Female","35-39 years","All causes","Rate",2009,208.497747177595
"Deaths","Saudi Arabia","Male","40-44 years","All causes","Number",2009,4521.78520227639
"Deaths","Saudi Arabia","Female","40-44 years","All causes","Number",2009,2222.90500919453
"Deaths","Saudi Arabia","Male","40-44 years","All causes","Rate",2009,403.361020838743
"Deaths","Saudi Arabia","Female","40-44 years","All causes","Rate",2009,321.979781675005
"Deaths","Saudi Arabia","Male","45-49 years","All causes","Number",2009,5338.37444641538
"Deaths","Saudi Arabia","Female","45-49 years","All causes","Number",2009,2589.38656568624
"Deaths","Saudi Arabia","Male","45-49 years","All causes","Rate",2009,628.190509666712
"Deaths","Saudi Arabia","Female","45-49 years","All causes","Rate",2009,500.167200128252
"Deaths","Saudi Arabia","Male","50-54 years","All causes","Number",2009,5700.77685589241
"Deaths","Saudi Arabia","Female","50-54 years","All causes","Number",2009,2780.11656490253
"Deaths","Saudi Arabia","Male","50-54 years","All causes","Rate",2009,975.340657179488
"Deaths","Saudi Arabia","Female","50-54 years","All causes","Rate",2009,765.633233820128
"Deaths","Saudi Arabia","Male","55-59 years","All causes","Number",2009,5990.76976642154
"Deaths","Saudi Arabia","Female","55-59 years","All causes","Number",2009,2920.91667921511
"Deaths","Saudi Arabia","Male","55-59 years","All causes","Rate",2009,1506.27917153475
"Deaths","Saudi Arabia","Female","55-59 years","All causes","Rate",2009,1159.22405230775
"Deaths","Saudi Arabia","Male","60-64 years","All causes","Number",2009,5685.37358478808
"Deaths","Saudi Arabia","Female","60-64 years","All causes","Number",2009,2929.35867055637
"Deaths","Saudi Arabia","Male","60-64 years","All causes","Rate",2009,2264.96132364079
"Deaths","Saudi Arabia","Female","60-64 years","All causes","Rate",2009,1713.83249008812
"Deaths","Saudi Arabia","Male","65-69 years","All causes","Number",2009,5608.78707085898
"Deaths","Saudi Arabia","Female","65-69 years","All causes","Number",2009,2919.51102767127
"Deaths","Saudi Arabia","Male","65-69 years","All causes","Rate",2009,3352.37924809867
"Deaths","Saudi Arabia","Female","65-69 years","All causes","Rate",2009,2512.96479452875
"Deaths","Saudi Arabia","Male","70-74 years","All causes","Number",2009,4795.89790934778
"Deaths","Saudi Arabia","Female","70-74 years","All causes","Number",2009,2803.11044012242
"Deaths","Saudi Arabia","Male","70-74 years","All causes","Rate",2009,5025.75678743433
"Deaths","Saudi Arabia","Female","70-74 years","All causes","Rate",2009,3864.36523441589
"Deaths","Saudi Arabia","Male","75-79 years","All causes","Number",2009,3507.23953599434
"Deaths","Saudi Arabia","Female","75-79 years","All causes","Number",2009,2568.1165501196
"Deaths","Saudi Arabia","Male","75-79 years","All causes","Rate",2009,7553.62534830248
"Deaths","Saudi Arabia","Female","75-79 years","All causes","Rate",2009,6015.29009664467
"Deaths","Saudi Arabia","Male","80-84","All causes","Number",2009,3761.95753921539
"Deaths","Saudi Arabia","Female","80-84","All causes","Number",2009,3168.95327130938
"Deaths","Saudi Arabia","Male","80-84","All causes","Rate",2009,11264.4071163342
"Deaths","Saudi Arabia","Female","80-84","All causes","Rate",2009,9477.01774934877
"Deaths","Saudi Arabia","Male","85-89","All causes","Number",2009,2277.74648477647
"Deaths","Saudi Arabia","Female","85-89","All causes","Number",2009,1907.21022575423
"Deaths","Saudi Arabia","Male","85-89","All causes","Rate",2009,16708.8817244784
"Deaths","Saudi Arabia","Female","85-89","All causes","Rate",2009,15352.987256703
"Deaths","Saudi Arabia","Male","90-94","All causes","Number",2009,1064.12310698112
"Deaths","Saudi Arabia","Female","90-94","All causes","Number",2009,918.849956298129
"Deaths","Saudi Arabia","Male","90-94","All causes","Rate",2009,23884.4401276481
"Deaths","Saudi Arabia","Female","90-94","All causes","Rate",2009,22618.9476724216
"Deaths","Saudi Arabia","Male","95+ years","All causes","Number",2009,323.563412078171
"Deaths","Saudi Arabia","Female","95+ years","All causes","Number",2009,323.281198327004
"Deaths","Saudi Arabia","Male","95+ years","All causes","Rate",2009,34541.9684691936
"Deaths","Saudi Arabia","Female","95+ years","All causes","Rate",2009,33700.9799437034
"Deaths","Saudi Arabia","Male","15-19 years","Ischemic heart disease","Number",2009,24.7772707029215
"Deaths","Saudi Arabia","Female","15-19 years","Ischemic heart disease","Number",2009,23.0944761530612
"Deaths","Saudi Arabia","Male","15-19 years","Ischemic heart disease","Rate",2009,1.71605103060943
"Deaths","Saudi Arabia","Female","15-19 years","Ischemic heart disease","Rate",2009,1.82423372944195
"Deaths","Saudi Arabia","Male","20-24 years","Ischemic heart disease","Number",2009,46.7655791471451
"Deaths","Saudi Arabia","Female","20-24 years","Ischemic heart disease","Number",2009,41.8867466416962
"Deaths","Saudi Arabia","Male","20-24 years","Ischemic heart disease","Rate",2009,2.9435488493903
"Deaths","Saudi Arabia","Female","20-24 years","Ischemic heart disease","Rate",2009,3.19210433939292
"Deaths","Saudi Arabia","Male","25-29 years","Ischemic heart disease","Number",2009,85.4979657026532
"Deaths","Saudi Arabia","Female","25-29 years","Ischemic heart disease","Number",2009,58.7962989576321
"Deaths","Saudi Arabia","Male","25-29 years","Ischemic heart disease","Rate",2009,5.26527614393197
"Deaths","Saudi Arabia","Female","25-29 years","Ischemic heart disease","Rate",2009,4.8215940845989
"Deaths","Saudi Arabia","Male","30-34 years","Ischemic heart disease","Number",2009,218.142318406239
"Deaths","Saudi Arabia","Female","30-34 years","Ischemic heart disease","Number",2009,134.440315254412
"Deaths","Saudi Arabia","Male","30-34 years","Ischemic heart disease","Rate",2009,12.8408018672173
"Deaths","Saudi Arabia","Female","30-34 years","Ischemic heart disease","Rate",2009,12.1472617025008
"Deaths","Saudi Arabia","Male","35-39 years","Ischemic heart disease","Number",2009,420.534445266196
"Deaths","Saudi Arabia","Female","35-39 years","Ischemic heart disease","Number",2009,210.81103744446
"Deaths","Saudi Arabia","Male","35-39 years","Ischemic heart disease","Rate",2009,28.2948782436679
"Deaths","Saudi Arabia","Female","35-39 years","Ischemic heart disease","Rate",2009,22.9287866173772
"Deaths","Saudi Arabia","Male","40-44 years","Ischemic heart disease","Number",2009,818.371758591449
"Deaths","Saudi Arabia","Female","40-44 years","Ischemic heart disease","Number",2009,342.228986594657
"Deaths","Saudi Arabia","Male","40-44 years","Ischemic heart disease","Rate",2009,73.0019789097597
"Deaths","Saudi Arabia","Female","40-44 years","Ischemic heart disease","Rate",2009,49.5706356910561
"Deaths","Saudi Arabia","Male","45-49 years","Ischemic heart disease","Number",2009,1417.28456576732
"Deaths","Saudi Arabia","Female","45-49 years","Ischemic heart disease","Number",2009,582.556808366718
"Deaths","Saudi Arabia","Male","45-49 years","Ischemic heart disease","Rate",2009,166.778243573749
"Deaths","Saudi Arabia","Female","45-49 years","Ischemic heart disease","Rate",2009,112.526963574175
"Deaths","Saudi Arabia","Male","50-54 years","Ischemic heart disease","Number",2009,1836.46164602567
"Deaths","Saudi Arabia","Female","50-54 years","Ischemic heart disease","Number",2009,726.703593828124
"Deaths","Saudi Arabia","Male","50-54 years","Ischemic heart disease","Rate",2009,314.19853012984
"Deaths","Saudi Arabia","Female","50-54 years","Ischemic heart disease","Rate",2009,200.131328878594
"Deaths","Saudi Arabia","Male","55-59 years","Ischemic heart disease","Number",2009,2177.98159300838
"Deaths","Saudi Arabia","Female","55-59 years","Ischemic heart disease","Number",2009,895.510565770505
"Deaths","Saudi Arabia","Male","55-59 years","Ischemic heart disease","Rate",2009,547.617157301341
"Deaths","Saudi Arabia","Female","55-59 years","Ischemic heart disease","Rate",2009,355.401232196682
"Deaths","Saudi Arabia","Male","60-64 years","Ischemic heart disease","Number",2009,2033.50400775778
"Deaths","Saudi Arabia","Female","60-64 years","Ischemic heart disease","Number",2009,978.792044355598
"Deaths","Saudi Arabia","Male","60-64 years","Ischemic heart disease","Rate",2009,810.115265136371
"Deaths","Saudi Arabia","Female","60-64 years","Ischemic heart disease","Rate",2009,572.646027786619
"Deaths","Saudi Arabia","Male","65-69 years","Ischemic heart disease","Number",2009,2023.80518729579
"Deaths","Saudi Arabia","Female","65-69 years","Ischemic heart disease","Number",2009,973.441509857581
"Deaths","Saudi Arabia","Male","65-69 years","Ischemic heart disease","Rate",2009,1209.63096412319
"Deaths","Saudi Arabia","Female","65-69 years","Ischemic heart disease","Rate",2009,837.888338361999
"Deaths","Saudi Arabia","Male","70-74 years","Ischemic heart disease","Number",2009,1538.38196169225
"Deaths","Saudi Arabia","Female","70-74 years","Ischemic heart disease","Number",2009,863.781685108016
"Deaths","Saudi Arabia","Male","70-74 years","Ischemic heart disease","Rate",2009,1612.11387977457
"Deaths","Saudi Arabia","Female","70-74 years","Ischemic heart disease","Rate",2009,1190.80856261618
"Deaths","Saudi Arabia","Male","75-79 years","Ischemic heart disease","Number",2009,1038.15688622946
"Deaths","Saudi Arabia","Female","75-79 years","Ischemic heart disease","Number",2009,775.994772605172
"Deaths","Saudi Arabia","Male","75-79 years","Ischemic heart disease","Rate",2009,2235.90321985645
"Deaths","Saudi Arabia","Female","75-79 years","Ischemic heart disease","Rate",2009,1817.60974613186
"Deaths","Saudi Arabia","Male","80-84","Ischemic heart disease","Number",2009,1067.44458076601
"Deaths","Saudi Arabia","Female","80-84","Ischemic heart disease","Number",2009,876.227846791085
"Deaths","Saudi Arabia","Male","80-84","Ischemic heart disease","Rate",2009,3196.24296832995
"Deaths","Saudi Arabia","Female","80-84","Ischemic heart disease","Rate",2009,2620.43209399602
"Deaths","Saudi Arabia","Male","85-89","Ischemic heart disease","Number",2009,623.775174590144
"Deaths","Saudi Arabia","Female","85-89","Ischemic heart disease","Number",2009,539.548593285214
"Deaths","Saudi Arabia","Male","85-89","Ischemic heart disease","Rate",2009,4575.8321589136
"Deaths","Saudi Arabia","Female","85-89","Ischemic heart disease","Rate",2009,4343.35059933104
"Deaths","Saudi Arabia","Male","90-94","Ischemic heart disease","Number",2009,268.828137589038
"Deaths","Saudi Arabia","Female","90-94","Ischemic heart disease","Number",2009,243.154215686876
"Deaths","Saudi Arabia","Male","90-94","Ischemic heart disease","Rate",2009,6033.89731390022
"Deaths","Saudi Arabia","Female","90-94","Ischemic heart disease","Rate",2009,5985.62631826004
"Deaths","Saudi Arabia","Male","95+ years","Ischemic heart disease","Number",2009,79.4307105725121
"Deaths","Saudi Arabia","Female","95+ years","Ischemic heart disease","Number",2009,85.4443304978705
